longitude,latitude,domains
-39.308965,-12.991082,AF
-38.968889,-13.122222,AF
-38.378496,-12.796697,AF
-35.2325,-7.096389,out
-44.142384,-23.146046,AF
-44.990816,-21.347,AF
-42.941488,-20.423369,AF
-46.686592,-23.333824,AF
-43.006388,-20.596995,AF
-44.610781,-23.300735,AF
-39.001977,-15.107717,out
-38.005353,-11.879504,AF
-39.09047,-14.103445,AF
-39.012401,-16.365624,AF
-51.961533,-21.256697,out
-42.872314,-20.233205,AF
-35.581562,-9.282227,AF
-34.820592,-7.605987,out
-36.276623,-10.11196,out
-35.869601,-9.79192,AF
-36.365317,-9.568675,AF
-36.448571,-9.539047,out
-35.735668,-9.443112,AF
-39.105156,-15.176492,AF
-44.139041,-19.907419,AF
-41.468495,-20.678316,AF
-36.610277,-10.345526,out
-38.888892,-15.90273,AF
-45.038942,-23.362826,AF
-47.370228,-21.932532,AF
-42.508056,-19.857222,AF
-50.773538,-23.722557,AF
-34.976944,-6.502222,out
-43.833333,-20,AF
-44.833411,-23.362283,AF
-39.755,-16.568,AF
-37.5125,-11.557778,AF
-39.403908,-12.974384,AF
-37.883333,-12.383333,out
-50.160757,-25.400374,AF
-38.61917,-12.648907,AF
-38.303611,-12.813611,AF
-39.033333,-13.483333,AF
-39.014316,-15.690736,AF
-46.358407,-23.524784,AF
-45.037306,-21.661881,AF
-34.834031,-7.734425,out
-42.985222,-21.216722,AF
-40.473599,-20.635557,AF
-42.62044,-19.766923,AF
-40.760292,-16.14217,AF
-42.858776,-20.803501,AF
-42.577457,-19.591131,AF
-44.813812,-22.922649,AF
-36.409542,-9.805081,out
-35.983247,-9.5995,AF
-36.550342,-10.491211,AF
-36.321606,-10.159258,out
-43.488688,-18.574101,AF
-39.333333,-17.183333,AF
-39.151667,-14.024444,AF
-39.08502,-16.304296,AF
-47.599031,-21.725323,AF
-35.156944,-6.102222,out
-37.571094,-11.513091,AF
-49.3163889,-20.7080556,AF
-38.6,-12.95,AF
-43.109821,-22.760151,out
-35.549169,-9.132778,AF
-38.42,-12.951667,AF
-43.137783,-19.799953,AF
-42.438333,-19.513889,AF
-38.733333,-12.433333,AF
-39.516667,-12.933333,AF
-35.50735,-8.714591,AF
-48.416667,-23.45,out
