species,state,rao
albicans,AFother,703.209899902344
alborufescens,other,747.160522460938
amnicola,other,483.629623413086
angelana,other,396
argyrophylla,other,681.333343505859
atlantica,AF,835.333343505859
baumgratziana,AF,791.555541992188
brunnea,AFother,615.308654785156
budlejoides,AF,747.160522460938
burchellii,other,615.308654785156
capixaba,AF,1187.11108398438
castaneiflora,AF,747.333343505859
chrysophylla,other,527.58024597168
cinerascens,AF,615.308654785156
cipoensis,other,395.555541992188
corallina,AFother,615.308654785156
cowanii,other,483.654327392578
cubatanensis,AFother,571.358032226562
cyathanthera,AFother,593.234558105469
dichrophylla,other,615.580230712891
discolor,AFother,571.358032226562
dispar,other,615.654296875
dura,AF,659.456787109375
fallax,AFother,615.308654785156
fasciculata,AF,703.555541992188
ferruginata,AFother,615.308654785156
flammea,AFother,659.25927734375
formosa,AF,725.407409667969
heliotropoides,other,571.358032226562
hyemalis,AFother,615.308654785156
hypoleuca,AFother,988.938262939453
kollmannii,AF,2021.43212890625
kriegeriana,AF,483.456787109375
lepidota,AFother,725.407409667969
longispicata,other,442.5
lourteigiana,other,703.209899902344
lymanii,AF,615.308654785156
macrothyrsa,other,615.308654785156
macuxi,other,549.481491088867
mayarae,other,483.654327392578
mellina,AFother,615.209869384766
multispicata,other,1055.16052246094
navioensis,other,483.654327392578
octopetala,AF,1098.76544189453
penduliflora,AF,571.358032226562
pepericarpa,AFother,527.604919433594
petroniana,AF,725.407409667969
polyandra,AF,923.160522460938
pterocaulon,other,703.209899902344
punctata,other,703.209899902344
racemifera,AF,615.308654785156
robusta,AF,725.185211181641
rondoniensis,other,615.506164550781
rufescens,other,747.160522460938
ruficalyx,AFother,703.654296875
ruschiana,AF,1231.11108398438
sclerophylla,AFother,703.382720947266
secundiflora,other,747.160522460938
serialis,AFother,878.91357421875
setosociliata,AF,835.555541992188
shepherdii,AF,747.506164550781
stenostachya,AFother,615.308654785156
suberosa,other,831.628082275391
tiliifolia,other,747.160522460938
valtheri,AF,571.358032226562
willdenowii,AF,483.802459716797
