species,state,rao
albicans,AFother,264.493835449219
alborufescens,other,284.839508056641
amnicola,other,111.728397369385
angelana,other,2420.09887695312
argyrophylla,other,142.41975402832
atlantica,AF,731.975311279297
baumgratziana,AF,996.592590332031
brunnea,AFother,488.197540283203
budlejoides,AF,518.592590332031
burchellii,other,264.493835449219
capixaba,AF,1057.53088378906
castaneiflora,AF,467.950622558594
chrysophylla,other,142.41975402832
cinerascens,AF,325.530853271484
cipoensis,other,742.271606445312
corallina,AFother,508.172836303711
cowanii,other,81.3827133178711
cubatanensis,AFother,521.993835449219
cyathanthera,AFother,467.604949951172
dichrophylla,other,111.728397369385
discolor,AFother,284.839508056641
dispar,other,142.41975402832
dura,AF,325.185180664062
fallax,AFother,264.493835449219
fasciculata,AF,487.950622558594
ferruginata,AFother,366.222229003906
flammea,AFother,467.456787109375
formosa,AF,528.641967773438
heliotropoides,other,193.037040710449
hyemalis,AFother,284.839508056641
hypoleuca,AFother,325.530853271484
kollmannii,AF,528.543212890625
kriegeriana,AF,447.407409667969
lepidota,AFother,203.456787109375
longispicata,other,142.41975402832
lourteigiana,other,193.037040710449
lymanii,AF,610.370361328125
macrothyrsa,other,264.493835449219
macuxi,other,81.3827133178711
mayarae,other,142.41975402832
mellina,AFother,711.703704833984
multispicata,other,264.493835449219
navioensis,other,81.3827133178711
octopetala,AF,488.123458862305
penduliflora,AF,996.592590332031
pepericarpa,AFother,447.604949951172
petroniana,AF,711.8271484375
polyandra,AF,528.543212890625
pterocaulon,other,183.012344360352
punctata,other,183.111114501953
racemifera,AF,386.567901611328
robusta,AF,478.123458862305
rondoniensis,other,0
rufescens,other,183.111114501953
ruficalyx,AFother,183.111114501953
ruschiana,AF,467.950622558594
sclerophylla,AFother,549.135803222656
secundiflora,other,274.271606445312
serialis,AFother,223.802474975586
setosociliata,AF,569.333312988281
shepherdii,AF,569.481506347656
stenostachya,AFother,223.530860900879
suberosa,other,71.2098770141602
tiliifolia,other,203.20987701416
valtheri,AF,549.012359619141
willdenowii,AF,701.728393554688
