AF,Ama,And,Cat,Cer,Cha,Mes,Pam,AFAma,AFAnd,AFCat,AFCer,AFCha,AFMes,AFPam,AmaAnd,AmaCat,AmaCer,AmaCha,AmaMes,AmaPam,AndCat,AndCer,AndCha,AndMes,AndPam,CatCer,CatCha,CatMes,CatPam,CerCha,CerMes,CerPam,ChaMes,ChaPam,MesPam,AFAmaAnd,AFAmaCat,AFAmaCer,AFAmaCha,AFAmaMes,AFAmaPam,AFAndCat,AFAndCer,AFAndCha,AFAndMes,AFAndPam,AFCatCer,AFCatCha,AFCatMes,AFCatPam,AFCerCha,AFCerMes,AFCerPam,AFChaMes,AFChaPam,AFMesPam,AmaAndCat,AmaAndCer,AmaAndCha,AmaAndMes,AmaAndPam,AmaCatCer,AmaCatCha,AmaCatMes,AmaCatPam,AmaCerCha,AmaCerMes,AmaCerPam,AmaChaMes,AmaChaPam,AmaMesPam,AndCatCer,AndCatCha,AndCatMes,AndCatPam,AndCerCha,AndCerMes,AndCerPam,AndChaMes,AndChaPam,AndMesPam,CatCerCha,CatCerMes,CatCerPam,CatChaMes,CatChaPam,CatMesPam,CerChaMes,CerChaPam,CerMesPam,ChaMesPam,AFAmaAndCat,AFAmaAndCer,AFAmaAndCha,AFAmaAndMes,AFAmaAndPam,AFAmaCatCer,AFAmaCatCha,AFAmaCatMes,AFAmaCatPam,AFAmaCerCha,AFAmaCerMes,AFAmaCerPam,AFAmaChaMes,AFAmaChaPam,AFAmaMesPam,AFAndCatCer,AFAndCatCha,AFAndCatMes,AFAndCatPam,AFAndCerCha,AFAndCerMes,AFAndCerPam,AFAndChaMes,AFAndChaPam,AFAndMesPam,AFCatCerCha,AFCatCerMes,AFCatCerPam,AFCatChaMes,AFCatChaPam,AFCatMesPam,AFCerChaMes,AFCerChaPam,AFCerMesPam,AFChaMesPam,AmaAndCatCer,AmaAndCatCha,AmaAndCatMes,AmaAndCatPam,AmaAndCerCha,AmaAndCerMes,AmaAndCerPam,AmaAndChaMes,AmaAndChaPam,AmaAndMesPam,AmaCatCerCha,AmaCatCerMes,AmaCatCerPam,AmaCatChaMes,AmaCatChaPam,AmaCatMesPam,AmaCerChaMes,AmaCerChaPam,AmaCerMesPam,AmaChaMesPam,AndCatCerCha,AndCatCerMes,AndCatCerPam,AndCatChaMes,AndCatChaPam,AndCatMesPam,AndCerChaMes,AndCerChaPam,AndCerMesPam,AndChaMesPam,CatCerChaMes,CatCerChaPam,CatCerMesPam,CatChaMesPam,CerChaMesPam,AFAmaAndCatCer,AFAmaAndCatCha,AFAmaAndCatMes,AFAmaAndCatPam,AFAmaAndCerCha,AFAmaAndCerMes,AFAmaAndCerPam,AFAmaAndChaMes,AFAmaAndChaPam,AFAmaAndMesPam,AFAmaCatCerCha,AFAmaCatCerMes,AFAmaCatCerPam,AFAmaCatChaMes,AFAmaCatChaPam,AFAmaCatMesPam,AFAmaCerChaMes,AFAmaCerChaPam,AFAmaCerMesPam,AFAmaChaMesPam,AFAndCatCerCha,AFAndCatCerMes,AFAndCatCerPam,AFAndCatChaMes,AFAndCatChaPam,AFAndCatMesPam,AFAndCerChaMes,AFAndCerChaPam,AFAndCerMesPam,AFAndChaMesPam,AFCatCerChaMes,AFCatCerChaPam,AFCatCerMesPam,AFCatChaMesPam,AFCerChaMesPam,AmaAndCatCerCha,AmaAndCatCerMes,AmaAndCatCerPam,AmaAndCatChaMes,AmaAndCatChaPam,AmaAndCatMesPam,AmaAndCerChaMes,AmaAndCerChaPam,AmaAndCerMesPam,AmaAndChaMesPam,AmaCatCerChaMes,AmaCatCerChaPam,AmaCatCerMesPam,AmaCatChaMesPam,AmaCerChaMesPam,AndCatCerChaMes,AndCatCerChaPam,AndCatCerMesPam,AndCatChaMesPam,AndCerChaMesPam,CatCerChaMesPam,AFAmaAndCatCerCha,AFAmaAndCatCerMes,AFAmaAndCatCerPam,AFAmaAndCatChaMes,AFAmaAndCatChaPam,AFAmaAndCatMesPam,AFAmaAndCerChaMes,AFAmaAndCerChaPam,AFAmaAndCerMesPam,AFAmaAndChaMesPam,AFAmaCatCerChaMes,AFAmaCatCerChaPam,AFAmaCatCerMesPam,AFAmaCatChaMesPam,AFAmaCerChaMesPam,AFAndCatCerChaMes,AFAndCatCerChaPam,AFAndCatCerMesPam,AFAndCatChaMesPam,AFAndCerChaMesPam,AFCatCerChaMesPam,AmaAndCatCerChaMes,AmaAndCatCerChaPam,AmaAndCatCerMesPam,AmaAndCatChaMesPam,AmaAndCerChaMesPam,AmaCatCerChaMesPam,AndCatCerChaMesPam,AFAmaAndCatCerChaMes,AFAmaAndCatCerChaPam,AFAmaAndCatCerMesPam,AFAmaAndCatChaMesPam,AFAmaAndCerChaMesPam,AFAmaCatCerChaMesPam,AFAndCatCerChaMesPam,AmaAndCatCerChaMesPam
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
