anc_node,state,anc_node_ages,anc_range
67,other,-6.28349,280.554165339151
68,other,-5.66415,2.74795292131965e+114
69,other,-5.35805,-1.75107290777477e+115
70,other,-3.34873,83.7562715453138
71,other,-3.15978,83.7562715453138
72,other,-2.55754,83.7562715453138
73,AFother,-0.0918199999999993,83.7562715453138
74,other,-1.83731,83.7562715453138
75,other,-1.17249,83.7562715453138
76,other,-3.12021,83.7562715453138
77,other,-2.62659,83.7562715453138
78,other,-1.3024,83.7562715453138
79,other,-0.524089999999999,83.7562715453138
80,other,-2.90089,83.7562715453138
81,other,-3.33927,83.7562715453138
82,other,-5.8285,83.7562715453138
83,other,-5.11224,83.7562715453138
84,other,-5.00924,83.7562715453138
85,other,-4.42446,83.7562715453138
86,other,-3.01472,83.7562715453138
87,other,-1.91189,83.7562715453138
88,other,-1.06851,83.7562715453138
89,other,-0.88223,83.7562715453138
90,other,-0.0579199999999993,83.7562715453138
91,other,-2.38781,83.7562715453138
92,other,-1.55154,83.7562715453138
93,AFother,-0.27304,83.7562715453138
94,other,-4.10295,83.7562715453138
95,other,-2.61995,83.7562715453138
96,other,-2.03093,83.7562715453138
97,other,-1.98665,83.7562715453138
98,AFother,-1.51455,83.7562715453138
99,AF,-1.43121,83.7562715453138
100,AF,-0.44602,83.7562715453138
101,AF,-0.31244,83.7562715453138
102,AFother,-4.94523,83.7562715453138
103,AF,-3.22813,83.7562715453138
104,AF,-2.55785,83.7562715453138
105,AF,-2.34965,83.7562715453138
106,AF,-2.07157,83.7562715453138
107,AF,-1.69413,83.7562715453138
108,AFother,-1.09275,83.7562715453138
109,AFother,-0.48234,83.7562715453138
110,AF,-1.07132,83.7562715453138
111,AF,-0.687099999999999,83.7562715453138
112,AF,-0.54047,83.7562715453138
113,AFother,-0.42556,83.7562715453138
114,AF,-1.98054,83.7562715453138
115,AF,-2.10872,83.7562715453138
116,AF,-1.82055,83.7562715453138
117,AF,-1.64859,83.7562715453138
118,AF,-1.6795,83.7562715453138
119,AF,-1.55968,83.7562715453138
120,AF,-0.74445,83.7562715453138
121,AF,-0.46709,83.7562715453138
122,AF,-0.410979999999999,83.7562715453138
123,AF,-1.127,83.7562715453138
124,AF,-1.6139,83.7562715453138
125,AF,-1.20244,83.7562715453138
126,AF,-2.97142,83.7562715453138
127,AF,-2.26106,83.7562715453138
128,AF,-1.28072,83.7562715453138
129,AF,-1.35041,83.7562715453138
130,AF,-1.88551,83.7562715453138
131,AFother,-2.30452,83.7562715453138
67,other,-9.33119,289.229083879939
68,other,-8.60945,886961.154240221
69,other,-8.29309,1105524.98637277
70,other,-5.82262,143.219952613129
71,other,-5.50617,267.422978337308
72,other,-4.87444,267.463874954273
73,AFother,-0.24667,433.345665443402
74,other,-2.03006,281.041551786815
75,other,-0.59441,255.849235736076
76,other,-5.24905,173.238069465795
77,other,-5.02736,184.689122216131
78,other,-3.44111,187.633678637646
79,other,-2.56214,213.971099963419
80,other,-4.20799,197.285280241501
81,other,-6.1548,83.0891454810643
82,other,-8.32759,19359.5358492641
83,other,-7.10997,81.2411296019364
