model,llik,aicc,delat_aicc
OUMV,-162.356936850764,340.644908184288,0
OUMV,-162.95261817241,341.836270827578,0
OUMV,-162.815539728315,341.562113939388,0
OUMV,-163.559749551763,343.050533586285,0
OUMV,-162.823352337945,341.577739158649,0
OUMV,-163.098823893893,342.128682270545,0
OUMV,-163.190497208522,342.312028899803,0
OUMV,-163.156708997206,342.24445247717,0
OUMV,-162.91247507237,341.755984627498,0
OUMV,-162.734204482303,341.399443447365,0
OUMV,-162.819063875526,341.569162233811,0
OUMV,-163.04029377548,342.011622033719,0
OUMV,-162.924922563507,341.780879609773,0
OUMV,-163.284346001797,342.499726486353,0
OUMV,-162.84078428322,341.612603049198,0
OUMV,-163.306879435275,342.544793353309,0
OUMV,-163.608777517385,343.148589517528,0
OUMV,-163.096932252538,342.124898987835,0
OUMV,-163.540537123642,343.012108730043,0
OUMV,-163.017273662409,341.965581807576,0
OUMV,-162.749170171575,341.429374825908,0
OUMV,-162.481600677755,340.894235838268,0
OUMV,-162.853119295219,341.637273073196,0
OUMV,-163.219246472772,342.369527428303,0
OUMV,-162.903677507007,341.738389496772,0
OUMV,-163.167832459548,342.266699401855,0
OUMV,-162.557982744523,341.046999971804,0
OUMV,-162.392158637574,340.715351757907,0
OUMV,-162.787742779493,341.506520041745,0
OUMV,-163.348876730227,342.628787943212,0
OUMV,-162.352687857551,340.63641019786,0
OUMV,-162.487948645192,340.906931773143,0
OUMV,-162.608860007147,341.148754497053,0
OUMV,-163.135469215009,342.201972912777,0
OUMV,-163.003874284864,341.938783052487,0
OUMV,-162.944138582178,341.819311647115,0
OUMV,-162.488458731919,340.907951946597,0
OUMV,-162.537589689972,341.006213862703,0
OUMV,-163.928153734458,343.787341951675,0
OUMV,-163.461928417036,342.854891316831,0
OUMV,-163.515676133456,342.962386749671,0
OUMV,-163.192436237862,342.315906958483,0
OUMV,-162.758261400121,341.447557283,0
OUMV,-162.950584158415,341.832202799588,0
OUMV,-163.237468791841,342.405972066442,0
OUMV,-162.900333927676,341.73170233811,0
OUMV,-163.423032706828,342.777099896414,0
OUMV,-163.862668227623,343.656370938005,0
OUMV,-162.614652783536,341.16034004983,0
OUMV,-164.171822112845,344.274678708448,0
OUMV,-163.256879730709,342.444793944177,0
OUMV,-162.308859189816,340.548752862391,0
OUMV,-163.218798311367,342.368631105492,0
OUMV,-163.196447426235,342.323929335229,0
OUMV,-162.54666604481,341.024366572378,0
OUMV,-163.479334098601,342.88970267996,0
OUMV,-162.487908458582,340.906851399923,0
OUMV,-164.065287123422,344.061608729603,0
OUMV,-162.350727478973,340.632489440704,0
OUMV,-163.094749224026,342.120532930811,0
OUMV,-162.731169334074,341.393373150906,0
OUMV,-163.161321748523,342.253677979805,0
OUMV,-162.927980393661,341.786995270081,0
OUMV,-162.521091615546,340.973217713852,0
OUMV,-162.311824896649,340.554684276057,0
OUMV,-162.93461151952,341.800257521799,0
OUMV,-162.821314520485,341.573663523728,0
OUMV,-163.972609783818,343.876254050395,0
OUMV,-163.280465944239,342.491966371236,0
OUMV,-162.388669064853,340.708372612464,0
OUMV,-162.601465000111,341.13396448298,0
OUMV,-163.014624752153,341.960283987065,0
OUMV,-163.493321506911,342.91767749658,0
OUMV,-162.539116774435,341.009268031628,0
OUMV,-163.619270549566,343.16957558189,0
OUMV,-162.933517634908,341.798069752574,0
OUMV,-162.966825472768,341.864685428295,0
OUMV,-162.995794766364,341.922624015486,0
OUMV,-163.066315695031,342.063665872821,0
OUMV,-163.868565409789,343.668165302337,0
OUMV,-163.259856240227,342.450746963213,0
OUMV,-162.996278224805,341.923590932369,0
OUMV,-162.320114776233,340.571264035225,0
OUMV,-163.423566984533,342.778168451826,0
OUMV,-162.647844238488,341.226722959735,0
OUMV,-163.774132504843,343.479299492445,0
OUMV,-163.063258620155,342.057551723069,0
OUMV,-163.085234928416,342.101504339591,0
OUMV,-162.865525317464,341.662085117686,0
OUMV,-163.338046770174,342.607128023107,0
OUMV,-162.78652126445,341.504077011659,0
OUMV,-163.407005269045,342.745045020849,0
OUMV,-163.064397003136,342.059828489031,0
OUMV,-163.660104315974,343.251243114706,0
OUMV,-163.150262092631,342.23155866802,0
OUMV,-163.180415370527,342.291865223813,0
OUMV,-163.566770157466,343.06457479769,0
OUMV,-162.688503907595,341.308042297949,0
OUMV,-162.639981720719,341.210997924197,0
OUMV,-163.43110248878,342.793239460319,0
