model,theta,se,alpha,sigma_sq
BM1,4.07925482291503,4.2605093696925,NA,22.6217353404288
BM1,4.27229617870459,3.10315408522692,NA,7.90709673046993
BM1,3.72855925939358,5.5234093431269,NA,43.8986779253203
BM1,4.15896540879269,3.02964853969037,NA,10.8550697696231
BM1,4.28823208531409,2.48785777578603,NA,5.21768237973328
BM1,4.1018969419258,3.05100201834496,NA,7.40945750171182
BM1,4.24761063707265,3.05472293922707,NA,10.0835161568843
BM1,4.07497129514546,2.58942707509425,NA,8.12295645140248
BM1,4.20680627758388,2.45435238770032,NA,4.56778760734659
BM1,4.25045624417634,3.0023316260662,NA,12.8977778883967
BM1,4.23681094397124,2.50794322429085,NA,6.68702154953001
BM1,4.06837492372389,2.68155289724202,NA,7.01576754003966
BM1,3.95278284171372,2.97675403758403,NA,10.1198002235895
BM1,4.20599449220525,2.74662884918293,NA,6.59766355107099
BM1,4.08387352702964,4.57622937052837,NA,24.862252341504
BM1,4.19306896735623,2.73403999964045,NA,9.8052746262059
BM1,3.96067543029679,2.73182937419993,NA,7.32844176192606
BM1,4.30001944536171,2.9781665061118,NA,9.17360175552845
BM1,4.20439499976545,2.92628287516191,NA,10.2878359479008
BM1,4.16323700632761,2.94150269595944,NA,12.2179754814148
BM1,4.16004026261411,2.77591414385546,NA,10.9311389479811
BM1,4.72747971724762,3.1118196681379,NA,11.550612932701
BM1,3.95090400456848,2.52018169302669,NA,7.26005818383798
BM1,4.00204425116905,2.62855006660148,NA,6.48785472107469
BM1,4.72382619535683,3.41472684023859,NA,18.3032006795884
BM1,4.13954511291289,3.01029676455105,NA,11.3606882984691
BM1,4.79022365943107,2.98013489700987,NA,6.74003952505082
BM1,4.06485981927173,4.31163747067822,NA,20.2482013500541
BM1,4.08325938532549,2.90647687501266,NA,11.8236764255911
BM1,4.00813590774561,3.08169875313136,NA,8.26840256134031
BM1,4.34133505516989,3.20306585427262,NA,12.9228924314752
BM1,4.45683845474729,3.86049786629921,NA,13.5872167856327
BM1,4.08322289308691,6.06548228821977,NA,42.9109740209873
BM1,4.26850839580634,3.30231633777898,NA,10.4044973441349
BM1,4.36647912816102,3.0846171151851,NA,9.26578293566281
BM1,4.21250297523146,2.88868376321656,NA,11.2485263085871
BM1,4.12138527303559,3.23175985123977,NA,11.6710563489433
BM1,4.11651309246716,3.68225002819765,NA,12.8378631779882
BM1,4.2598885243968,2.60469021268686,NA,7.10550630670991
BM1,4.06330880379412,2.60941179114758,NA,7.97534763907712
BM1,4.19895117061649,2.4265223759207,NA,8.47251820619721
BM1,3.76145760251075,3.5129287571055,NA,13.7520461999925
BM1,4.07754564583689,4.47030441907416,NA,16.4558045387247
BM1,3.91146840570291,2.37994236987765,NA,6.33435027331153
BM1,3.89892538275297,2.59572319591611,NA,7.72529504883932
BM1,4.30609807751714,2.62305817714831,NA,5.90882441569612
