model,llik,aicc,delat_aicc
OUMV,-422.652303509348,861.235641501456,-177.482086037744
OUMV,-419.352790384254,854.636615251266,-155.488547582454
OUMV,-422.667667262734,861.266369008226,-302.350341883754
OUMV,-425.60093740931,867.132909301379,-160.122772709921
OUMVA,-421.359993423235,863.934272560755,0
OUMV,-422.855260613047,861.641555708852,-149.318160956958
OUMVA,-419.83161666828,860.877519050846,-152.006122919434
OUMV,-423.764986874023,863.461008230806,-140.081468054364
OUMV,-421.471309733402,858.873653949563,0
OUMV,-421.879676852661,859.690388188081,-192.947535959419
OUMVA,-425.511408501406,872.237102717098,0
OUMV,-424.063618433067,864.058271348892,0
OUMV,-424.231251578997,864.393537640753,-201.866334803717
OUMV,-419.791279753674,855.513593990107,0
OUMV,-422.862074296413,861.655183075585,-223.775886347535
OUMV,-425.486596912313,866.904228307386,-133.168872389634
OUMV,-424.158296585498,864.247627653756,0
OUMV,-424.692848452587,865.316731387932,0.364685835691034
OUMV,-424.044737454556,864.020509391871,-141.528234745409
OUMVA,-420.34981878601,861.913923286306,0
OUMV,-422.266417293542,860.463869069843,-161.970473156157
OUMV,-424.470943655117,864.872921792992,0
OUMVA,-422.128396852392,865.471079419071,0
OUMV,-428.502355506851,872.93574549646,-145.58826780291
OUMVA,-429.421204017643,880.056693749573,-185.619886851547
OUMV,-424.583708382034,865.098451246826,-137.595174464254
OUMV,-424.76349772855,865.45802993986,0
OUMV,-424.168936249319,864.268906981397,-146.044110443113
OUMVA,-427.109661699414,875.433609113114,-135.723951835796
OUMVA,-421.11220998396,863.438705682206,-198.342890539704
OUMV,-422.54000605513,861.011046593019,-189.614434688341
OUMVA,-421.811935671411,864.838157057108,-155.501354421232
OUMV,-426.381306490373,868.693647463504,0
OUMV,-422.578488599778,861.088011682314,-180.311647136406
OUMV,-428.223702821807,872.378440126372,0
OUMV,-423.409128847612,862.749292177982,0
OUMV,-422.942549351588,861.816133185934,0
OUMVA,-421.015975788138,863.246237290562,0
OUMVA,-419.72119771644,860.656681147165,0
OUMVA,-418.972293744258,859.158873202802,0
OUMV,-425.831880530254,867.594795543267,1.00775279509298
OUMV,-424.537295398258,865.005625279274,-175.401174008916
OUMV,-421.74119651342,859.413427509598,-144.650426878722
OUMVA,-425.953405257567,873.121096229421,-161.198911042579
OUMVA,-421.468842537568,864.151970789421,0
OUMV,-422.625995096234,861.183024675227,0
OUMVA,-420.904537618496,863.023360951277,0
OUMV,-424.455189379702,864.841413242163,-192.622320396737
OUMVA,-419.054317226778,859.322920167841,0
OUMVA,-420.453707749006,862.121701212297,0
OUMVA,-420.390223287853,861.994732289991,0
OUMV,-422.184630518773,860.300295520305,-195.175118618875
OUMV,-424.540007633966,865.011049750691,-143.338537558529
OUMV,-425.368750158094,866.668534798946,0
OUMVA,-416.611499324342,854.437284362969,0
OUMV,-424.234389071473,864.399812625704,0
OUMV,-421.568233978592,859.067502439942,-156.071779846428
OUMV,-425.905044829703,867.741124142165,-149.037921277185
OUMV,-423.055729452159,862.042493387077,0
OUMV,-424.525421975618,864.981878433995,-182.687484677665
OUMV,-420.964306743618,857.859647969995,0
OUMV,-423.546711639286,863.024457761331,0
OUMV,-425.997010827053,867.925056136864,-133.287468226576
OUMV,-422.092631451209,860.116297385177,-235.734618139743
OUMV,-421.825837775693,859.582710034144,-182.650464000306
OUMV,-425.154255739777,866.239545962313,-187.749669913327
OUMV,-425.473239476844,866.877513436447,-140.950610654473
OUMV,-427.184710931991,870.30045634674,0
OUMV,-423.913122427743,863.757279338245,-149.966258637305
OUMV,-422.139971629786,860.21097774233,-140.14730079946
OUMV,-422.508502806808,860.948040096374,-161.822222112586
OUMV,-423.607237195253,863.145508873264,-156.532762685856
OUMV,-423.862871633863,863.656777750484,-162.221755776256
OUMV,-423.144722252987,862.220478988733,-163.005156500407
OUMVA,-421.02574065056,863.265767015406,0
OUMV,-423.439373628588,862.809781739936,-141.712900095024
OUMV,-423.860773953888,863.652582390535,-139.423920612955
OUMV,-425.690010973704,867.311056430167,-161.378441918383
OUMVA,-427.827482108879,876.869249932044,-217.494653927656
OUMVA,-420.100938989274,861.416163692834,-145.257073361836
OUMV,-422.758682002288,861.448398487334,0
OUMV,-423.483956823551,862.898948129861,-163.862992204259
OUMV,-422.474502396861,860.88003927648,-169.31222620576
OUMV,-421.591610918598,859.114256319955,-185.238328307315
OUMV,-422.639146713194,861.209327909147,-170.898298487993
OUMVA,-421.669931711343,864.554149136971,0
OUMV,-423.920668860193,863.772372203145,-168.726394913415
OUMV,-423.277342299199,862.485719081158,-143.579846149222
OUMVA,-420.147242421192,861.50877055667,0
OUMV,-418.935835347138,853.802705177035,-164.996947166135
OUMV,-424.736720423568,865.404475329895,-167.389775514735
OUMV,-429.108511726815,874.148057936389,0
OUMV,-423.347909662757,862.626853808272,-149.044247389088
OUMVA,-420.742845484717,862.699976683719,-139.333553271781
OUMV,-426.781797966817,869.494630416392,-165.043866067228
OUMV,-426.165259297002,868.261553076762,0
OUMVA,-424.794892441567,870.804070597419,0
OUMV,-422.345526688247,860.622087859252,-156.488172473928
OUMV,-422.123141122747,860.177316728252,-222.182344950828
OUMV,-425.767513890646,867.466062264051,-146.891499522999
