region,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
inside_AF,65,24,64,17131.5
inside_AF,68,32,56.3945770263672,17254.166015625
inside_AF,70,44,54.975902557373,17564.666015625
inside_AF,92,62,59.1385536193848,18206.166015625
inside_AF,93,47,49,14641.9169921875
inside_AF,124,78,52.9819259643555,14759.6669921875
inside_AF,119,80,52,14422.25
inside_AF,103,62,53,14311.25
inside_AF,117,78,49.1174697875977,14386.5
inside_AF,108,52,50.725902557373,14005.3330078125
inside_AF,67,10,55.0873489379883,16922.583984375
inside_AF,86,37,62.7530136108398,17955.583984375
inside_AF,63,18,52.171688079834,16931.083984375
inside_AF,74,26,55.4638557434082,16841.083984375
inside_AF,121,59,55.0210838317871,15493.4169921875
inside_AF,120,81,50.828311920166,14700.5
inside_AF,66,59,54.5120468139648,19326.083984375
inside_AF,87,59,61.9939765930176,19312.333984375
inside_AF,79,65,59.6355438232422,18605.833984375
inside_AF,69,64,55,18756.916015625
inside_AF,83,64,63.7138557434082,18769.416015625
inside_AF,86,65,63,18401.416015625
inside_AF,66,63,53.7319259643555,19133.666015625
inside_AF,69,11,56,16613.25
inside_AF,127,86,53,15674.5
inside_AF,118,64,50,15467.6669921875
inside_AF,86,64,61.8012046813965,18303.833984375
inside_AF,73,18,57.7981910705566,16852.333984375
inside_AF,103,51,52.2801208496094,13815.75
inside_AF,120,71,53.9246978759766,15094.4169921875
inside_AF,120,79,48.774097442627,14932.3330078125
inside_AF,126,30,54,15156.4169921875
inside_AF,87,61,61.1536140441895,18851.5
inside_AF,121,87,53.7981910705566,15288.75
inside_AF,96,41,51.7198791503906,14260.8330078125
inside_AF,93,32,58.7018089294434,16036.0830078125
inside_AF,87,51,62,17563
inside_AF,65,45,65.9006042480469,17031.083984375
inside_AF,76,49,56,18174.333984375
inside_AF,116,28,50.1506042480469,14055.75
inside_AF,78,47,62,17554.833984375
inside_AF,70,43,56,17236.166015625
inside_AF,65,24,56.7048187255859,17217.5
inside_AF,74,12,53.3433723449707,16645.75
inside_AF,96,57,54.3042182922363,14016.75
inside_AF,133,76,51.033130645752,14781.1669921875
inside_AF,82,60,55.0421676635742,19399.25
inside_AF,123,78,51.9728927612305,14290
inside_AF,80,43,50.1114463806152,15589
inside_AF,119,79,50.2379531860352,14925.6669921875
inside_AF,108,63,56,15941.1669921875
inside_AF,118,75,52,14286.75
inside_AF,119,79,50.7379531860352,14879.3330078125
inside_AF,118,69,47.4397583007812,15038.6669921875
inside_AF,83,66,63,18428.5
inside_AF,69,64,54.7078323364258,18569.083984375
inside_AF,82,63,61.1626510620117,18481.583984375
inside_AF,80,64,61,18731.5
inside_AF,114,85,53.5873489379883,15000.1669921875
inside_AF,79,24,57.0572280883789,16050.5
inside_AF,63,16,52.930721282959,16899.083984375
inside_AF,75,23,57.9518089294434,16351.8330078125
inside_AF,121,72,54.9096374511719,15382.5
inside_AF,87,68,61.5722885131836,18510.583984375
inside_AF,89,50,61.569278717041,17815.166015625
inside_AF,127,75,55.8945770263672,15434.5
inside_AF,68,50,57.6777114868164,17412.25
inside_AF,83,45,50.3915672302246,15228.25
inside_AF,68,59,56.774097442627,19304.833984375
inside_AF,66,45,57,17470.416015625
inside_AF,116,83,53.2319259643555,14566.4169921875
inside_AF,119,77,51.5481910705566,15003.25
inside_AF,85,40,64.2981948852539,17457.666015625
inside_AF,67,35,63,17023.583984375
inside_AF,73,60,63.1656608581543,19194.666015625
inside_AF,117,55,54.2921676635742,14429
inside_AF,116,82,52.5030136108398,14572.75
inside_AF,100,40,51.4186744689941,13590.9169921875
inside_AF,87,65,63,18793.583984375
inside_AF,85,37,64.3704833984375,17907
inside_AF,105,55,52.6837348937988,14412.5830078125
inside_AF,127,70,56.9427719116211,15280.3330078125
inside_AF,62,58,56.8463859558105,18711.5
inside_AF,68,59,64.1415634155273,19182.083984375
inside_AF,109,61,53.2680740356445,15062.5830078125
inside_AF,59,56,62.2108421325684,19159.916015625
inside_AF,92,61,66,19128.333984375
inside_AF,91,48,62,17938.333984375
inside_AF,125,33,54.6837348937988,15099.8330078125
inside_AF,112,85,56,15301.5
inside_AF,98,67,63.0512046813965,16314.9169921875
inside_AF,113,86,54,15224.9169921875
inside_AF,115,77,51,14725.6669921875
inside_AF,114,50,55,14264.5830078125
inside_AF,126,86,53.716869354248,14700.5830078125
inside_AF,125,65,54,15977.25
inside_AF,112,61,52.2439765930176,14663.5830078125
