species,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
albicans,137,67,50.0030136108398,14525.25
albicans,106,48,52,16955.5
albicans,130,54,59.602409362793,15575
albicans,125,66,54.9126510620117,15265.75
albicans,130,70,52,14420.4169921875
albicans,139,67,50.0451812744141,14447.9169921875
albicans,142,72,46.2198791503906,14348.5
albicans,85,41,43,18543.25
albicans,134,58,56,15081.6669921875
albicans,117,31,57,13905.0830078125
albicans,130,70,52.7771072387695,14428.9169921875
albicans,144,78,48,15593.8330078125
albicans,93,41,50,17854
albicans,111,78,53.9819259643555,16742.5
albicans,129,50,55.4487953186035,15239.0830078125
albicans,118,79,53.774097442627,16474.416015625
albicans,133,68,48.4367485046387,14504.3330078125
albicans,111,55,48.7198791503906,14627.1669921875
albicans,109,54,51.3222885131836,14283.6669921875
albicans,105,58,52.5753021240234,15689.0830078125
albicans,109,87,56.0753021240234,16658.583984375
albicans,103,60,40.0632514953613,13993.1669921875
albicans,120,80,54,15868.3330078125
albicans,133,68,56.0030136108398,14683.9169921875
albicans,124,82,55.7620468139648,17037.083984375
albicans,117,99,53,18006.916015625
albicans,121,78,51.9909629821777,14652.1669921875
albicans,107,86,53.5210838317871,15337.1669921875
albicans,115,87,52.9578323364258,15216.3330078125
albicans,126,86,53.716869354248,14700.5830078125
albicans,120,79,51.2680740356445,14871
albicans,115,81,59.9548187255859,16808.583984375
albicans,129,86,54.8704833984375,16788.5
albicans,99,80,55,16427.583984375
albicans,114,83,52,16023.75
albicans,112,57,63,16266.1669921875
albicans,97,52,41.5150604248047,14634.5830078125
albicans,93,68,45.4578323364258,15051.5830078125
albicans,122,61,55,15123.1669921875
albicans,77,17,58.8795166015625,16248.75
albicans,103,82,56,16289.8330078125
albicans,115,61,41,14211.5830078125
albicans,127,80,54.1837348937988,16032.8330078125
albicans,117,85,57,17070.333984375
albicans,122,86,53.1897583007812,15050.25
albicans,100,81,52,16410.5
albicans,109,66,NA,17317.25
albicans,106,58,59.5722885131836,15637.3330078125
albicans,93,69,43,14976
albicans,133,78,53.171688079834,15426.9169921875
albicans,127,62,56.4728927612305,15213.8330078125
albicans,65,24,64,17131.5
albicans,68,32,56.3945770263672,17254.166015625
albicans,70,44,54.975902557373,17564.666015625
albicans,130,77,51.8885536193848,15204.9169921875
albicans,126,78,55.033130645752,15790.6669921875
albicans,120,81,54.0602416992188,16098.75
albicans,100,34,68,17011.833984375
albicans,86,57,59.9548187255859,18770
albicans,76,64,57.2078323364258,18674.5
albicans,89,58,58.0993957519531,18456
albicans,113,87,56,15294.9169921875
albicans,71,64,53.0512046813965,18920
albicans,66,63,53,19006.75
albicans,93,47,49,14641.9169921875
albicans,66,24,56.3313255310059,17180
albicans,129,70,50,14503.1669921875
albicans,124,78,52.9819259643555,14759.6669921875
albicans,75,53,64.0421676635742,18411.833984375
albicans,109,65,60.4397583007812,15337
albicans,111,76,54.7981910705566,16407.583984375
albicans,118,65,54.8222885131836,15096.5830078125
albicans,84,41,39.328311920166,14617.3330078125
albicans,83,49,44,16811.583984375
albicans,120,40,44.9397583007812,15486.25
albicans,101,81,56,16723.75
albicans,129,87,53.8945770263672,16992.666015625
albicans,64,18,62.828311920166,16975.333984375
albicans,119,80,52,14422.25
albicans,143,98,56,17119.833984375
albicans,103,62,53,14311.25
albicans,105,20,55.1837348937988,13346
albicans,83,48,66.9096374511719,18552.083984375
albicans,75,50,61.078311920166,18446.916015625
albicans,89,63,63.8885536193848,19114.416015625
albicans,108,83,55.8584327697754,16697
albicans,79,56,NA,18449.916015625
albicans,118,65,53.3915672302246,14882.75
albicans,117,78,49.1174697875977,14386.5
albicans,119,79,51,17035.333984375
albicans,123,64,53,15537.5830078125
albicans,104,85,55.0150604248047,16397.666015625
albicans,120,83,57,15954.0830078125
albicans,124,73,51.7048187255859,14077.4169921875
albicans,102,57,54.0813255310059,14644.4169921875
albicans,108,52,50.725902557373,14005.3330078125
albicans,90,44,63.4006042480469,18168.083984375
albicans,80,65,62.3162651062012,18944
albicans,105,52,51.7048187255859,15105.3330078125
albicans,74,19,61,16481.25
albicans,97,47,51.7138557434082,13910.9169921875
albicans,120,64,54.8162651062012,15269.0830078125
albicans,105,58,40,13844.3330078125
albicans,128,69,53.7198791503906,14529.9169921875
albicans,130,71,52.6204833984375,14383.75
albicans,117,72,54,14998.75
albicans,100,81,48.4548187255859,16097.4169921875
albicans,82,76,51.9728927612305,16201.75
albicans,74,80,52.9819259643555,16678.666015625
albicans,77,66,46.8825302124023,16146.6669921875
albicans,105,58,40.25,13884.3330078125
albicans,95,53,52,15187.4169921875
albicans,111,70,55,15233.5
albicans,96,41,51.7198791503906,14260.8330078125
albicans,108,73,50.9186744689941,14315.6669921875
albicans,116,60,57.5210838317871,15501
albicans,98,66,50.7138557434082,17429.666015625
albicans,110,82,53,15860.75
albicans,67,10,55.0873489379883,16922.583984375
albicans,144,58,51.5,14734.5
albicans,121,59,55,15884.5
albicans,86,37,62.7530136108398,17955.583984375
albicans,74,49,57.7198791503906,18082.333984375
albicans,120,61,53.2198791503906,15001
albicans,106,69,53.9126510620117,15022.5830078125
albicans,111,58,52,14655.75
albicans,106,100,59.897590637207,17670.416015625
albicans,119,59,60.2590370178223,14421.4169921875
albicans,120,88,56.5391578674316,16201.75
albicans,118,89,54.7439765930176,15638.5830078125
albicans,102,54,51.2951812744141,14704.8330078125
albicans,99,61,46.3795166015625,16110.3330078125
albicans,129,68,50,15594.8330078125
albicans,144,82,57.671688079834,17748.333984375
albicans,120,89,54.7319259643555,15750.8330078125
albicans,122,85,54.3222885131836,16126.5
albicans,125,61,54.7981910705566,15088.5830078125
albicans,76,56,58.5391578674316,18206.75
albicans,63,18,52.171688079834,16931.083984375
albicans,133,69,49.9969863891602,14872
albicans,76,19,57.4638557434082,16305.5
albicans,74,26,55.4638557434082,16841.083984375
albicans,116,60,60,17183.166015625
albicans,133,77,51.8644561767578,15205.8330078125
albicans,85,37,64.3704833984375,17952.25
albicans,90,59,61.9698791503906,18957.25
albicans,118,79,53.0030136108398,17195.75
albicans,121,59,55.0210838317871,15493.4169921875
albicans,120,81,50.828311920166,14700.5
albicans,66,59,54.5120468139648,19326.083984375
albicans,87,59,61.9939765930176,19312.333984375
albicans,141,82,55.5813255310059,16160.25
albicans,137,80,56,16131.0830078125
albicans,104,92,60,17592.583984375
albicans,131,80,54,16873.166015625
albicans,127,76,54,15279.75
albicans,124,77,51.897590637207,16367.6669921875
albicans,103,57,39.9969863891602,13847.5
albicans,71,61,58.2861442565918,19074.333984375
albicans,79,61,58.8855438232422,18998.583984375
albicans,79,65,59.6355438232422,18605.833984375
albicans,84,59,58.4367485046387,18452.333984375
albicans,65,60,55.5361442565918,19114.583984375
albicans,69,64,55.4879531860352,18904.583984375
albicans,92,65,62.171688079834,18877.333984375
albicans,91,52,61.2018089294434,17680.083984375
albicans,68,65,53.5843391418457,18987.916015625
albicans,92,62,59.1385536193848,18206.166015625
albicans,66,64,54.7078323364258,18357.833984375
albicans,81,63,61,18714.75
albicans,91,61,65.1234970092773,18615.833984375
albicans,81,65,63.3343391418457,18976.75
albicans,83,64,63.7138557434082,18769.416015625
albicans,86,65,63,18401.416015625
albicans,62,56,56,18423.416015625
albicans,86,62,68.2379531860352,17799.75
albicans,84,58,64.1927719116211,18791.5
albicans,126,86,54.2981910705566,15884.4169921875
albicans,126,63,54.8463859558105,15417.25
albicans,86,26,52.4397583007812,14000.8330078125
albicans,116,71,52.1415672302246,15170.9169921875
albicans,90,53,40,16049.8330078125
albicans,90,51,40,16372.3330078125
albicans,88,31,40.4608421325684,14263.5830078125
albicans,136,74,49.1295166015625,14861.25
albicans,103,63,41.171688079834,14059.0830078125
albicans,90,47,40.9548187255859,16313
albicans,106,59,41.6957817077637,13841.6669921875
albicans,114,42,54.6174697875977,14447
albicans,109,77,54.6445770263672,16447.833984375
albicans,89,34,51.0451812744141,17630.916015625
albicans,133,24,44,15273.9169921875
albicans,101,40,46.1265068054199,17699.416015625
albicans,99,61,45.6355438232422,16724.333984375
albicans,116,41,54.3584327697754,14402.6669921875
albicans,103,59,46.725902557373,16949
albicans,84,41,42.8102416992188,18510.333984375
albicans,135,87,61.5662651062012,17812.083984375
albicans,112,51,53.1295166015625,15736.5
albicans,100,80,49.0060234069824,16171
albicans,146,72,46.5060234069824,14810.5
albicans,97,63,40,14809.25
albicans,126,73,44.7530136108398,14193.9169921875
albicans,98,37,41,15058.5830078125
albicans,94,45,47.0873489379883,15480.25
albicans,83,46,40,14316.3330078125
albicans,116,54,62.7078323364258,16672
albicans,69,27,66.7921676635742,16980.416015625
albicans,66,63,53.7319259643555,19133.666015625
albicans,66,28,63.5361442565918,17049
albicans,110,76,52,16488.583984375
albicans,103,91,56,17668.166015625
albicans,127,86,53,15674.5
albicans,118,64,50,15467.6669921875
albicans,112,61,50.9006042480469,15581.5830078125
albicans,90,47,46,18069.5
albicans,89,43,45,18206.25
albicans,79,46,46,17727.583984375
albicans,79,52,NA,18583.916015625
albicans,84,41,44.7560234069824,18360.25
albicans,115,62,62.569278717041,18109.416015625
albicans,103,64,51.9036140441895,16244.25
albicans,116,64,51,13840.1669921875
albicans,71,65,61.5512046813965,17967.75
albicans,86,64,61.8012046813965,18303.833984375
albicans,144,75,48,14858.75
albicans,127,71,57,15292.8330078125
albicans,139,70,48.8222885131836,14291.5
albicans,112,56,61.6536140441895,15519.1669921875
albicans,100,58,61.3072280883789,15677.3330078125
albicans,81,21,59,16029.9169921875
albicans,142,75,50.8825302124023,15673.4169921875
albicans,82,43,62.6656608581543,17562.416015625
albicans,106,51,49.7409629821777,15901.5830078125
albicans,93,82,50,16388.916015625
albicans,101,53,57.7078323364258,17227.583984375
albicans,108,31,53.2228927612305,16748.416015625
albicans,104,59,57.024097442627,16540.5
albicans,98,51,53,13879.5830078125
albicans,91,45,45.5873489379883,17974.166015625
albicans,92,50,47,17707
albicans,79,48,59.7138557434082,17603.333984375
albicans,101,53,50.8343391418457,14990.9169921875
albicans,120,80,50,16252.3330078125
albicans,73,49,61,17456.916015625
albicans,85,48,50.8403625488281,15394.5
albicans,110,41,61.0903625488281,17410
albicans,126,47,54.8222885131836,15067.75
albicans,128,77,56.1174697875977,15368.3330078125
albicans,99,51,58.1174697875977,17374.083984375
albicans,111,76,49.9849395751953,16984.416015625
albicans,115,76,54.6596374511719,16216.4169921875
albicans,91,51,55.1957817077637,15295.75
albicans,95,51,56.1897583007812,15102.0830078125
albicans,137,83,55.5090370178223,16152.4169921875
albicans,120,24,51.533130645752,14600.3330078125
albicans,95,59,51.7680740356445,16279
albicans,78,44,62,16632.083984375
albicans,93,66,NA,15002.1669921875
albicans,75,27,57.2530136108398,16342.6669921875
albicans,109,33,47.6355438232422,16848.25
albicans,117,80,51.6445770263672,15682.0830078125
albicans,123,77,51.1596374511719,15227.5830078125
albicans,132,94,55,16342
albicans,113,78,52.6656608581543,15655.0830078125
albicans,130,95,54.4789161682129,16332.75
albicans,128,75,52.6957817077637,15434.4169921875
albicans,127,69,54,15109
albicans,112,57,52.9126510620117,15159.6669921875
albicans,119,63,59,15179.75
albicans,127,72,51.5963859558105,14464.5
albicans,106,75,54,16403.916015625
albicans,109,69,54.9006042480469,15172.3330078125
albicans,120,79,51.5993957519531,15803
albicans,99,64,51,13974.6669921875
albicans,127,82,55.7981910705566,15877.5
albicans,131,81,54.8825302124023,15988.25
albicans,135,69,52.930721282959,14780.8330078125
albicans,142,83,53.8222885131836,17793.333984375
albicans,141,84,53.3433723449707,17769.416015625
albicans,128,76,53.6656608581543,15229.25
albicans,142,72,47,14635.5
albicans,144,73,47.4849395751953,14707.9169921875
albicans,81,46,52.774097442627,18491.083984375
albicans,119,77,49.6234931945801,15942
albicans,125,78,50.4367485046387,16706.75
albicans,109,79,53.6174697875977,15871
albicans,135,69,50.9457817077637,14689.0830078125
albicans,116,78,52.8403625488281,15429.9169921875
albicans,120,75,50.8584327697754,16070.9169921875
albicans,121,76,51.1777114868164,16206.1669921875
albicans,93,54,65,17765.416015625
albicans,110,70,54.8825302124023,15178
albicans,137,81,52,15847
albicans,109,77,55,16520.583984375
albicans,139,80,52.9789161682129,15889.9169921875
albicans,134,81,54,15772.0830078125
albicans,98,56,57.4277114868164,17372.916015625
albicans,102,61,50.0150604248047,15990.3330078125
albicans,99,67,50.8072280883789,15718.3330078125
albicans,144,72,46.2560234069824,14479.6669921875
albicans,110,79,54,15587.6669921875
albicans,125,77,50.2319259643555,16251.3330078125
albicans,137,74,51.9186744689941,14919.6669921875
albicans,76,60,55.475902557373,18181.583984375
albicans,92,50,41.1174697875977,15844.0830078125
albicans,137,79,47.533130645752,14680.25
albicans,109,41,42,16240.4169921875
albicans,103,100,60,17963.166015625
albicans,85,42,63.3403625488281,17428.25
albicans,114,79,53.1837348937988,16483.583984375
albicans,87,66,61,18923
albicans,84,34,57.6355438232422,15654.6669921875
albicans,112,58,52.5873489379883,14791.25
albicans,93,48,56.3433723449707,15457.5
albicans,101,81,56,16697.833984375
albicans,131,88,54.1174697875977,17000.25
albicans,81,59,63.4066276550293,18560.916015625
albicans,84,54,61.725902557373,17746.666015625
albicans,126,73,50.6445770263672,15509.5
albicans,126,79,51.4487953186035,16698.583984375
albicans,127,79,53.569278717041,16230.4169921875
albicans,131,80,55.4066276550293,17002
albicans,63,61,59,17892.75
albicans,108,83,53.1054229736328,16966.916015625
albicans,103,46,70,17535.416015625
albicans,103,51,52.2801208496094,13815.75
albicans,98,63,54.3373489379883,13944.75
albicans,120,72,53,15242.8330078125
albicans,115,77,50.966869354248,14687.4169921875
albicans,120,63,61,15898.75
albicans,125,83,54,16933.666015625
albicans,95,34,40,15297.0830078125
albicans,120,71,53.9246978759766,15094.4169921875
albicans,135,68,49.0090370178223,14932.9169921875
albicans,101,48,65.8373489379883,16782.583984375
albicans,81,58,45.9186744689941,16195.1669921875
albicans,76,55,61.2379531860352,16802.5
albicans,106,33,66,17262.583984375
albicans,120,79,48.774097442627,14932.3330078125
albicans,117,59,59,16668.416015625
albicans,81,48,57.680721282959,17569.166015625
albicans,144,81,57,17659.75
albicans,122,80,54,15926.4169921875
albicans,120,54,63.1957817077637,16701.25
albicans,121,90,54.3463859558105,16501.75
albicans,102,52,45.171688079834,15566.6669921875
albicans,107,48,53,14938.6669921875
albicans,114,53,63.2801208496094,16605.5
albicans,116,56,63.2138557434082,16554.75
albicans,103,80,57,16452.833984375
albicans,124,74,55,15673.1669921875
albicans,87,61,61.1536140441895,18851.5
albicans,86,68,59.2379531860352,18679.166015625
albicans,148,56,53,14766.5830078125
albicans,121,87,53.7981910705566,15288.75
albicans,119,58,60,16606.416015625
albicans,126,48,55,15506.5830078125
albicans,127,64,56.9969863891602,15329
albicans,96,45,49,17319.5
albicans,101,74,58.8644561767578,16960.083984375
albicans,112,40,40,16067.3330078125
albicans,95,62,47.283130645752,17178.666015625
albicans,82,42,64,17685.5
albicans,95,87,55.7891578674316,16801.833984375
albicans,95,72,51,16525.75
albicans,86,85,NA,17337.416015625
albicans,105,54,45,15932.8330078125
albicans,111,48,44.3825302124023,15896.3330078125
albicans,104,63,48,17817.083984375
albicans,101,24,42.7861442565918,14315.5830078125
albicans,132,75,53,15623.25
albicans,132,94,56.2801208496094,16914.833984375
albicans,90,42,47.8012046813965,17952.916015625
albicans,92,41,49.8373489379883,17133.75
albicans,120,71,53.0421676635742,15828.9169921875
albicans,109,77,54,16513.666015625
albicans,139,73,50,14710.3330078125
albicans,121,71,55.9006042480469,15622.1669921875
albicans,100,39,45.9367485046387,13478.0830078125
albicans,88,62,60.1506042480469,18859.333984375
albicans,131,67,48,14299.3330078125
albicans,93,32,58.7018089294434,16036.0830078125
albicans,115,52,60.2921676635742,16517.333984375
albicans,102,62,42.8885536193848,14015.6669921875
albicans,114,42,61.5813255310059,16462.833984375
albicans,100,82,49.5933723449707,16416.083984375
albicans,91,43,50.6084327697754,14792.6669921875
albicans,131,80,49.4518089294434,15718.8330078125
albicans,109,36,51.533130645752,13645.1669921875
albicans,73,18,58.1987953186035,16330.8330078125
albicans,112,70,55,15310.75
albicans,121,58,54,15537.8330078125
albicans,129,88,56,17063.75
albicans,83,45,55.475902557373,16299.0830078125
albicans,87,51,62,17563
albicans,82,80,58,18439.25
albicans,78,62,64,18528.75
albicans,84,85,59.4548187255859,18737.416015625
albicans,122,25,51.4548187255859,14940
albicans,123,29,53.4186744689941,14765.1669921875
albicans,110,58,62,15844.5
albicans,119,65,53.5481910705566,15008.25
albicans,121,63,55,15045.6669921875
albicans,121,61,53.7861442565918,14694.25
albicans,82,39,45,18482.333984375
albicans,127,68,56.0030136108398,15598.3330078125
albicans,101,54,52,14846.0830078125
albicans,127,70,45.2560234069824,15375.75
albicans,127,73,51.3674697875977,15463
albicans,119,51,61,16640
albicans,130,88,54.4246978759766,16948.5
albicans,101,37,67.5572280883789,16971.583984375
albicans,63,19,52.0813255310059,17091.416015625
albicans,115,49,56.8825302124023,16479.333984375
albicans,64,16,53,16886.833984375
albicans,64,19,52,17098.833984375
albicans,115,44,56,16414.416015625
albicans,66,45,54.0993957519531,17284.666015625
albicans,64,12,54.0572280883789,17028.666015625
albicans,63,14,54,16826.666015625
albicans,88,54,63.0753021240234,18580.25
albicans,87,50,60,17673.916015625
albicans,78,22,58.6415672302246,16329.0830078125
albicans,74,16,63.3885536193848,16543.75
albicans,75,20,59.7198791503906,16616.416015625
albicans,64,17,52.4457817077637,16927.75
albicans,114,57,58,16240.5
albicans,65,45,65.9006042480469,17031.083984375
albicans,121,82,62,16648.833984375
albicans,76,49,56,18174.333984375
albicans,116,28,50.1506042480469,14055.75
albicans,68,50,57.6777114868164,17412.25
albicans,78,47,62,17554.833984375
albicans,117,64,60.6957817077637,16515.166015625
albicans,104,42,68.5210876464844,17084.666015625
albicans,79,46,59.7198791503906,17576
albicans,82,45,60.4277114868164,17669
albicans,65,24,56.7048187255859,17217.5
albicans,70,43,56,17236.166015625
albicans,119,71,53.4849395751953,15810.0830078125
albicans,128,74,55.1054229736328,15392.1669921875
albicans,91,38,42.7771072387695,13804.5
albicans,89,53,45,16377
albicans,81,44,50.8584327697754,15515.5830078125
albicans,104,76,51.2981910705566,16577
albicans,118,34,53.1777114868164,16299.9169921875
albicans,130,79,50,15721.5
albicans,121,91,57.0180740356445,16171.9169921875
albicans,117,62,61,16799.666015625
albicans,117,55,61,16889.333984375
albicans,119,24,50.4969863891602,14553.3330078125
albicans,84,44,51.4367485046387,13486
albicans,125,72,54,15436
albicans,118,40,53.6114463806152,14521.75
albicans,119,86,54,15868.5830078125
albicans,123,63,54,15570.6669921875
